TIM_Id,Subject,Severity,Description,Initiation_Date
ProjectB - TIM - 2680,"ProjectB Spacecraft: PSE FSW code does not implement the requirement 2201.13, 2201.14, and 2201.20",3,"The PSE FSW code does not implement the requirements 2201.13, 2201.14, and 2201.20 for the 3 consecutive cycles 464-FSW_SPEC-0059 PSE: 2201.13 When enabled to do so (see 1224), if for three consecutive PSE Battery Monitor Cycles, the Battery Mounting Surface (BMS) temperature (2201.10), as measured by the (prime or redundant) BMS PRT, exceeds a table-specified limit, the PSE FSW shall switch OFF the battery heater. 2201.14 When enabled to do so (see 1224), if for three consecutive PSE Battery Monitor Cycles, the Battery Mounting Surface (BMS) temperature (2201.10), as measured by the (prime or redundant) BMS PRT falls below a table specified limit, the PSE FSW shall switch ON the battery heater. 2201.20 If for three consecutive PSE Battery Monitor Cycles after switching to the redundant PRT (2201.15), the battery mounting surface temperature (2201.10) falls outside a table-specified, high or low range, the PSE FSW shall turn OFF the battery Heater. 1) First at all, the #define is incorrect in the ps_task_main.c. ----------------------------------------------------------------------------------- PSE-3.1.1\FSW\cpu\pse\tasks\ps\ps_task_main.c #define PSE_CONSECUTIVE_TEMPERATURE_VIOLATION 2 2) In the function PS_FDC_BatteryTemperatureForHeaterControl(), IV&V don't see a mechanism to handle the second time and third time temperature check. Our understanding is that there should be a while loop or for loop to continue scanning/reading and checking the temperature. So far it only checks for once. To help to understand the IV&V comments, the source code with comments embedded are attached.",5/14/07
ProjectB - TIM - 2679,"ProjectB Spacecraft: Discrepancy between requirements, and design information and code",3,"Discrepancy between requirements and design information, regarding the number of virtual recorders that exist. 464-FSW-SPEC-0066 Telemetry Output: 2311 The Flight Software shall set the Virtual Channel Number within the Primary Header for Playback of Virtual Recorder 4, to the value of four (4). 2312 The Flight Software shall set the Virtual Channel Number within the Primary Header for Retransmission of Virtual Recorder 4, to the value of fourteen (14) decimal. According to CDR Slide 29, the design ""Now has 3 virtual recorders instead of 4.” IV&V has searched the TO code of CDH (received July 26 2006), can't find any where mention about the playback VC 4, or retransmission VC 14. Below is part of the code for the VC number. In file ** File: tochntbl.c --------------------------- /* ** Global Data Section. */ channel_priority_entry to_channel_priority_table[MAX_TO_CHAN] = { /* destination, source, retransmit, virtual channel */ { I_CHANNEL, REAL_TIME, TRANSMIT, VC_0 }, { Q_CHANNEL, RECORDER_1, RETRANSMIT, VC_11 }, { Q_CHANNEL, RECORDER_2, RETRANSMIT, VC_12 }, { Q_CHANNEL, RECORDER_3, RETRANSMIT, VC_13 }, { Q_CHANNEL, RECORDER_1, TRANSMIT, VC_1 }, { Q_CHANNEL, RECORDER_2, TRANSMIT, VC_2 }, { Q_CHANNEL, RECORDER_3, TRANSMIT, VC_3 }, { Q_CHANNEL, PATTERN_0, TRANSMIT, VC_1 }, { Q_CHANNEL, PATTERN_1, TRANSMIT, VC_1 }, { Q_CHANNEL, PATTERN_2, TRANSMIT, VC_1 }, }; In file ** File: tochntbl.h --------------------------- /* ** Type Definition Section */ #define MAX_TO_CHAN 10 /* size of channel_priority_table, 3 for each recorder + 1 for real-time + 3 for pattern vcdus */ typedef enum { VC_0, /* real-time */ VC_1, VC_2, VC_3, VC_11 = 11, /* retransmit vc = playback vc + 10 */ VC_12, VC_13, MAX_VC_ID, FILL_VC = 62 /* ccsds fill virtual chanel */ } virtual_channel_ids;",5/14/07
ProjectB - TIM - 2678,"Test scenario file ""set6.doc"": Scenario 6g, Editoral errors",4,"In Test scenario file ""set6.doc"": Scenario 6g, WARM RESTART SEQUENCES tests, Restart sequence 2 - 4: • ... • Build and load an RTS to perform the following sequence of restarts: WARM ACE-A, W2, WARM GCE-A, W2, WARM PSE-A, W2, WARM S/COMM-A, W2, WARM MP, wait 20, MD noop. [IV&V: are these W2 mean the warm restart counter? If it is, they should be incrementing in each Restart Sequence test.] To help in the understanding of this TIM, the test scenario file ""ProjectB at set6 - TIM 2678.doc"" has been attached with relevant sections of the test scenario document that pertain to this TIM highlighted in yellow, and keyword ""IV&V"".",5/9/07
ProjectB - TIM - 2677,"Test scenario file ""set 6.doc"" - 6g Scenario: One step is missing for verifying the max warm restart count.",3,"In test scenario file ""set 6.doc"" - 6g Scenario: WARM RESTART SEQUENCES, a test step needs to be added to verify the max warm restart counter is set = 5 , so that when warm restart count reach to 5 it will cause 1 cold restart. If the Max warm restart count was not set to 5, a command is needed to set the Max count to 5 for this test. To help in the understanding of this TIM, the test scenario file ""ProjectB at set6 - TIM 2677.doc"" has been attached with relevant sections of the test scenario document that pertain to this TIM highlighted in yellow, and keyword ""IV&V"".",5/9/07
ProjectB - TIM - 2676,"Test scenario file ""set6.doc"": Scenario 6b: wrong telemetry mnemonic was used.",4,"in Test scenario file ""set6.doc"": Scenario 6b, a wrong telemetry mnemonic was used. * Clear the ACS Warm restart counter. (SBC_AC_RESET_WARM_FLG). However, is ""SBC_AC_RESET_WARM_FLG"" suppose to be a counter? SBC_AC_RESET_WARM_FLG is a “Flag” with a value of TRUE or FALSE, and is not a counter. To help in the understanding of this TIM, the test scenario file ""ProjectB at set6 - TIM 2676.doc"" has been attached with relevant sections of the test scenario document that pertain to this TIM highlighted in yellow - search for the keyword ""IV&V"".",5/9/07
ProjectB - TIM - 2675,ProjectB AT set 6 - 6b Scenario: Warm start counter needs to reset to zero,3,"In ProjectB AT set 6 - 6b Scenario, the 9th main bullet and its sub-bullet as below: * Execute a MP Warm restart: • Send MP Warm restart command. • Verify MP flys through warm (ACS remains in Inertial mode, KF enabled, all MP tasks initialize nominally). • Verify MP Warm restart counter = 1. [IV&V: in order to get counter = 1, it should clear the WR counter before the warm restart command.] To help in the understanding of this TIM, the test scenario file ""ProjectB at set6.doc"" has been attached with relevant sections of the test scenario document that pertain to this TIM highlighted in yellow, and keyword ""IV&V"".",5/9/07
ProjectB - TIM - 2674,ProjectB FSW Acceptance test set 1.doc: ACS thruster test with ACE not in control,3,"In test case ""ACS thruster test with ACE-B/EVD-B. (Do not test ME.)"" at ""1b Scenario - Nominal Separation and SunAcq – PART 2: Propulsion system pressurization, Safehold c/o, thruster pulse tests."", According to the second sub-bullet, ""• Note: During this portion of the test, attitude control remains under ACS SunAcq mode with ACE-A InControl and in Normal mode. The thruster pulses are commanded by ground commands addressed to ACE-B. "", IV&V believe this test cannot be done, because according to ACE FSW spec-0049, requirement 4440.1 -- if ACE not in control, it shall send no thruster commands under any circumstances. ACE-B currently is in safehold mode, and NOT in-control, the test won’t work because the ACE-B is unable to process any thruster commands from ACS or ground. in order to easily locate the issue, the test scenario set 1 with embedded IV&V comments was attached in TIM 2673 (click on ""Relationships"").",5/9/07
ProjectB - TIM - 2673,"Test scenario file “ProjectB at set1.doc”, the ACE control states didn't match in the scenario",4,"In test case ""TRANSITION: Safehold ACE-A to Safehold ACE-B."" at ""1b Scenario - Nominal Separation and SunAcq – PART 2: Propulsion system pressurization, Safehold c/o, thruster pulse tests."", the statement at 4th sub-bullet is misleading and confused -- ""• In the event that ACE-B has a problem we want ACE-A to automatically take back control of the RWs from ACE-B."". Because at this moment, ACE-A is still in-control, and ACE-B is trying to get in-control from ACE-A. It doesn't make sense that ACE-A will try to regain the control. In order to easily locate where the issue was, the test scenario with the embedded comments is attached. -- Click on the relationship button -->",5/9/07
ProjectB - TIM - 2672,"Test scenario file “ProjectB at set2.doc”, scenario 2 h: Test FDC A1.2.1, Statements are reversed since KF should see no errors when reset",3,"This issues occurs in test scenario file “ProjectB at set2.doc”, Scenario 2h, “Inertial KF mode, combined fine attitude sensor check FDC AND lack of fine attitude sensor input to KF FDC checkout”, Test FDC A1.2.1 (DSS No Sun Presence effect on KF). To help in the understanding of this TIM, the test scenario file has been attached to the TIM. The relevant portions of the file that pertain to this TIM have been highlighted in red. The following two bullets which occur at the end of this test appear to be reversed. - Reset the KF (SBC_AC_RESET_KF) - Verify KF remains converged and attitude errors, gyro drift bias values are in agreement with the values prior to the No Sun Presence condition. Once the KF is reset, there should be no errors. So the verification statement should occur prior to the “reset the KF” statement.",5/4/07
ProjectB - TIM - 2671,"Test scenario file “ProjectB set1.doc”, scenario 1j, “Bad ACE-A CSS data initial SunAcq”, ACS should be in control",3,"In the test scenario file “ProjectB set1.doc”, scenario 1j, “Bad ACE-A CSS data during initial Sun Acquisition (Bad A/D converter affects all 8 eyes equivalently)”, bad DSS data is tested. In order to test bad DSS data, the system has to set ACS in-control + sun acq mode (ACE in-control in normal mode), because ACE is not using DSS data for its safehold mode. In this test scenario, there is no mention that the ACS is in-control, and there is no test to ensure that the ACS is in control. According to ""ACE User's Guide"" (464-FSW-HDBK-0009 v2.20)in page 4: ""The Star Tracker and DSS interface directly to the spacecraft via the 1553 bus and do not interface to the ACE."" To help to understand the IV&V comments, please see attachment by clicking ""Relationships"" button.",5/4/07
ProjectB - TIM - 2670,System test scenarios – missing test for watchdog timeout causing cold restart,3,No test scenario has been found that specifically tests that the watchdog timeout successfully causes a cold restart. Should such a test scenario be written?,5/3/07
ProjectB - TIM - 2669,System test scenarios – missing test for ProjectB disposal,3,"No test scenario has been found that specifically tests those operations responsible for ProjectB disposal. Should such a test be written, or are existing test scenarios sufficient to cover this portion of the mission?",5/3/07
ProjectB - TIM - 2668,"Test scenario file “set6.doc”, scenarios 6a, 6b & 6e, no test to ensure that the system has entered inertial mode",3,"In the test scenario file “ProjectB at set6.doc”, test scenario 6d, “Safehold Endurance 4-of-4 RWs "", and 6e Scenario – ""Safehold Endurance 3-of-4”, should the test scenario be written to ensure that the “bunch of commands to GCE to enable power, movement, etc to the appropriate HGA for the given ephemeris date/time” are executed after entering inertial mode or science mode? According to the GCE FSW Spec ""464-FSW-SPEC-0054 Revision B"": “The HGA commanding by the ACS FSW on the main processor will only be performed in inertial and science modes.” To help in the understanding of this TIM, the file ""ProjectB at set6.doc"" has been attached to the TIM. The relevant portions of the file that pertain to this TIM have been highlighted in yellow.",5/3/07
