TIM_Id,Subject,Severity,Description,Initiation_Date
ProjectC - TIM - 1323,"Erroneous switch statement (Build 2, File CINIT.c, Line 119)",3,"In Build 2, file CINIT.c, line 119, the switch statement has no default and will only execute the first condition based upon a constant assigned value of 0 to symbol ‰Û÷flag‰Ûª. 115 flag = 0; ‰Û_ 119 switch (flag) { 120 case 0: ... 138 break; 139 case 1: ... 168 break; 169 case 2: ... 190 break; 191 }",3/13/07
ProjectC - TIM - 1322,Unchecked function return values,3,,3/1/07
ProjectC - TIM - 1320,"Variable not initialized before use (Build 2, File mu_init.c, Line 723)",3,"In Build 2, file mu_init.c, symbol 'warm_boot_signature' was not initialized before use in condition statement. This issue was found using the Flexe-Lint code analysis tool. 716 extern unsigned long warm_boot_signature; ... 723 if(warm_boot_signature != POWERUP_STRING_VAL)",1/22/07
ProjectC - TIM - 1319,"Boolean within 'if' always evaluates to True (Build 2, File schedule.c, Lines 705 and 718)",3,"In Build 2, file schedule.c, lines 705 and 718, there are identical nested if conditionals. The second will always evaluate as the first. This issue was found using the Flexe-Lint code analysis tool. 704 // If the command size is ok continue processing it 705 if( return_status == RET_OK ) 706 { ... 718 // Continue if able to get the required vbuf or no vbuf is required 719 if( return_status == RET_OK ) 720 {",1/22/07
ProjectC - TIM - 1318,"Boolean within 'if' always evaluates to True (Build 2, File schedule.c, Lines 705 and 718)",3,"In Build 2, file rd_task.c, the Boolean within 'if' always evaluates to True. This issue was found using the Flexe-Lint code analysis tool. 1432 WORD return_status = RETURN_OK; ... 1450 if ( !return_status ) 1451 {",1/22/07
ProjectC - TIM - 1317,"Possible access of out-of-bounds pointer (Build 2, File read_a2d.c, Line 194)",3,"In Build 2, file read_a2d.c, line 194, the source will access of out-of-bounds pointer. The conditional statement is uses '>=' therefore the index 'channel' may be larger than the maximum length of A2D_Lookup. This issue was found using the Flexe-Lint code analysis tool. from file mu_a2d.if: 166 extern BYTE 167 A2D_Lookup[MAX_A2D_MUX_CHANNELS]; from file read_a2d.c: 188 /* If the Channel number is greater than the maximum possible Mux Channels (32) */ 189 /* then must enable the Sub_Mux before the ADC read. */ 190 if(Channel >= MAX_A2D_MUX_CHANNELS) 191 Mu_Read_A2d(Channel, &Enable_Val); 192 193 /* Now prepare the ADC MUX */ 194 outp( Mux, A2D_Lookup[Channel] );",1/22/07
ProjectC - TIM - 1316,Thermal Testing of Components Not Done During Integration,3,"In Glory I&T Test Plan document thermal testing is not mentioned in sections 5.4.3.6 (VDE and Propulsion Integration), 5.4.3.9 (Battery Integration), 5.4.3.10 (Reaction Wheel Integration), and 5.4.3.13 (SAD and SADE Integration). Each of these systems have their own set of heaters (heater and backup heater) as noted in the Performance Specification Requirements document (detailed in sections 9.2.1.1, 9.2.1.2, 9.2.1.3, and 9.2.1.4). Additional requirements referencing the thermal needs of these components can be seen in the ADACS SRS (3.08.05), the C&DH SRS (1.04.36, and 1.04.37), and the TIM ICD (7.1.2). Although there is a final thermal test described after all components are integrated (sections 6.8 and 6.9), there is no mention in any of the independent integration procedures of testing their individual component's thermal thresholds.",1/22/07
ProjectC - TIM - 1315,Reference to Perf. Spec. Rqt 6.4.20 Is Inaccurate in DN-ProjectC-ACS-010,3,"During the review of the ACS Test Plan (DN-ProjectC-ACS-036_rev5 (1/18/07), the values being validated against in the test plan (tests cases mentioned in TIM-1314) the pitch, roll, yaw were reviewed. There is an inaccurate reference to these values on pages 5 and 11. The section states: ""Based on Glory Spacecraft Performance Spec (Reference [1]), the pointing requirement is as follows: 6.4.20 The ACS Controller Errors + Attitude Knowledge Errors (all-inclusive) shall meet the accuracy requirements per axis as specified below. The errors shall be itemized in a Glory Program Pointing Accuracy Design Note, and maintained/updated from EDC through on-orbit checkout. (5.2.14) Axis Accuracy (1sigma) - Roll 150 arc-sec - Pitch 1050 arc-sec - Yaw 450 arc-sec."" The performance specification (S919-PF3200_B(cdrl_19).pdf, 6/06/06) requirement 6.4.20 states: "" 6.4.20 The ACS Controller Errors + Attitude Knowledge Errors (all-inclusive) shall meet the accuracy requirements per axis as specified below. The errors shall be itemized in a Glory Program Pointing Accuracy Design Note, and maintained/updated from EDC through on-orbit checkout. (5.2.14) Axis Accuracy (1Ì_) Pitch 350 arc-sec Roll 50 arc-sec Yaw 150 arc-sec"" All numbers are different from the performance specification requirement. These values should be evaluation and reconciled.",1/22/07
ProjectC - TIM - 1314,Inconsistent Roll/Pitch/Yaw Accuracy Values in Requirements documents and Design Notes,3,"During an analysis of the ACS Test Plan (DN-ProjectC-ACS-036) it was discovered that there were inconsistent values related to Roll/Pitch/Yaw accuracy pointing throughout requirements documents (PS and SMRD) and several design note documents referencing them. Here are the various documents: ACS Test plan (DN-ProjectC-ACS-036, dated 1/23/07) contains many test cases with the following Pass/Fail criteria: ""Verify that the 3-sigma attitude errors are within 150 asec in X, 1050 asec in Y, and 350 asec in Z."" The list of test cases are as follows: 5.2.1, 5.2.2, 5.2.4, 5.2.5, 5.2.6, 5.2.10, 5.2.11, 5.2.12, 5.2.13, 5.2.14, 5.2.15, 5.2.15, 5.2.16, 5.2.17, 5.2.18, 5.2.19, 5.2.20, 5.2.21, 5.2.22, 5.2.23, 5.2.24, 5.2.25, 5.9.1, 5.9.2, 5.9.3 The pitch/roll/yaw values are being validated in the above test cases against differing roll/pitch/yaw values from the performance specification requirement referenced. DN-Glory-ACS-001 Rev B(ptg bdgt), last updated 8/03/05, references requirement 5.2.14 (SMRD rqt) for the Roll/Pitch/Yaw accuracy on pages 3 and 4. It associates the following pointing accuracy (3-sigma accuracy) values to SMRD rqt 5.2.14: Roll: 150 asec Pitch: 1050 asec Yaw: 450 asec DN-Glory-ACS-010, last updated 1/18/07, references PS requirement 6.4.20 for the Roll/Pitch/Yaw accuracy on pages 5, and 11. It associates the following pointing accuracy (3-sigma accuracy) values to PS requirement 6.4.20: Roll: 150 asec Pitch: 1050 asec Yaw: 450 asec PS (document S919 PF3200 B cdrl 019, dated 6/06/06) requirement 6.4.20 has the following accuracy (1-sigma accuracy) requirements: Roll: 50 asec Pitch: 350 asec Yaw: 150 asec SMRD (revision B, dated April 18, 2005) requirement 5.2.14 has the following accuracy requirements (1 sigma accuracy): Roll: 50 asec Pitch: 350 asec Yaw: 150 asec",1/22/07
ProjectC - TIM - 1245,Incorrect Trace for MU FSW Section 1.2.0 of TIM Rqts Traceability Matrix document,3,"MU FSW Section 1.2.0 of the TIM Rqts Traceability Matrix document states: ""The MU shall communicate with the S/C bus via a 1553 bus"" is traced to SMRD requirement 4.2.1. SMRD requirement 4.2.1 states: ""The Glory satellite shall achieve a sun-synchronous, circular orbit inclined 98.7 degrees å±0.15 degrees (1Ì_) with a target altitude of 824 km å±30 km (3Ì_)."" There is no mention of the 1553 bus in the SMRD requirement.",1/18/07
