TIM_Id,Subject,Severity,Description,Initiation_Date
ProjectA - TIM - 2115,Build 5.3: Unitialized Variables,3,Filename: sts_df.c Function: TSdf_Undervolt_Condition Line # : 2693 Variables buv_state_a and buv_state_b may not be properly initialized via the if/else if conditional statements. An else clause should be added to ensure variable initializations.,3/25/07
ProjectA - TIM - 2114,Build 5.3 FSW: Typecast Mismatch in Memory Deallocation,3,"File: inflateData.c Function: huft_free Line #: 474 The statement free((char *)p) is an incorrect memory deallocation for the huft struct variable p. Depending on compiler and system memory recovery, this could result in memory issues or reduced performance.",3/20/07
ProjectA - TIM - 2113,Build 5.3 FSW: Parameter Type Mismatch,3,"File: ProjectAmain.c Function: inflateTable Line: 703 The FlexeLint message: “Symbol 'inflateData(unsigned long *, unsigned char *, unsigned long *)' has arg. type conflict (arg. no. 2 -- ptrs to incompatible types) with line 703, file ./main/ProjectAmain.c” describes a parameter type mismatch in the following function call: ""if( inflateData ( eepromPtr,(u_dword *)destPtr, &tblSize) )"". The function call's unsigned double word pointer typecast does not match the expected prototype's unsigned character pointer. Depending on compiler, this could lead to pointer errors.",3/19/07
ProjectA - TIM - 2112,Build 5.3 FSW: Unchecked Return Status,3,"File: acprocesscommands.c Function: AC_GenerateSMResponse Line: 1416 The u_word variable SB_ReturnStatus is assigned a value, but not checked for an error / nominal return status. If an error code is returned, this module will not respond to the off-nominal condition.",3/19/07
ProjectA - TIM - 2111,Build 5.3 FSW: Typecast Mismatch in Memory Deallocation,3,"File: inflateData.c Function: huft_free Line #: 474 The statement free((char *)p) is an incorrect memory deallocation for the huft struct variable p. Depending on compiler and system memory recovery, this could result in memory issues or reduced performance.",3/18/07
ProjectA - TIM - 2110,"Uninitialized variable ""Status"" in acnavigate.c",3,"In the function ac_CalculateSunFrame, the return value Status is not set until the error cases at lines 751 and 780. When the error condition is encountered the value STATUS_ERROR (0) is assigned to Status. Since Status is a local variable it will contain an undefined (possibly random) value until this error condition occurs, when Status is set to STATUS_ERROR. In subsequent processing the return value is only tested against STATUS_ERROR, thus as long as the initial value happens to be non-zero the function will perform as expected. If the value at the address of Status happens to be zero then the function will incorrectly report failure.",10/12/06
ProjectA - TIM - 2109,L3-SFS-925 no traceability links from L4,3,"According to the project DOORS database snapshot provided to the IV&V team, L3-SFS-925 has no incoming links; however, the requirement has specific FSW implications. Referenced Requirements [L2-FPR-39] The FP system design shall preclude the collision of overlapping fault responses and shall be free of deadlocks. Definition: A deadlock is the condition where two processes cannot proceed because they both simultaneously require the exclusive use of shared resources held by one another. Child of L2-FPR-29: [L3-SFS-925] The Spacecraft FP responses shall be configured to use the system design such that no deadlock occurs (e.g. aborting VML commanding, command timing to dedicated components, etc.) and preclude the collisions of overlapping FP responses.",6/26/06
ProjectA - TIM - 2108,L3-SFS-919 incomplete traceability links from L4,3,"According to the project DOORS database snapshot provided to the IV&V team, L3-SFS-919 only has links from the L4 SuROM SRS. Since this requirement is levying functionality on the entire FP system, the L4 OBC, ACS, and UPL requirements need to respond to L3-SFS-919. Therefore, L3-SFS-919 is not satisfied by the currently linked requirements. Referenced Requirements: [L3-SFS-919] The Spacecraft FP shall be designed to autonomously recognize sets of symptoms stemming from any single failure or fault. Children of L3-SFS-919: [L4-SROSU-17] Flight Software shall trap the processor interrupts and make an Exception Log entry: [L4-SROSU-19] Machine Check Interrupt [L4-SROSU-20] Data Storage Interrupt [L4-SROSU-21] Instruction Storage Interrupt [L4-SROSU-23] Alignment Interrupt [L4-SROSU-28] On RESET, the Flight Software shall examine the Sanity Codes in SuROM memory. If the Sanity Codes in SRAM do not match the hard-coded pattern in SuROM, it is assumed that the OBC has lost power. In that event the exception log shall be initialized. [L4-SROSU-29] Flight Software shall determine whether a processor mode transition was due to a Command, POWER_ON or External Hardware Reset command. [L4-SROSU-30] Flight Software shall store RAD6000 processor exception data in a log. [L4-SROSU-31] The Flight Software exception log shall fill each entry until it reaches the last entry (23); all subsequent entries are written in the same location. [L4-SROSU-32] If sufficient RAD6000 and LIO processing resources are operable, restart operations shall progress to completion in SuROM Diagnostic (Monitor) Mode or Normal Mode. [L4-SROSU-33] Unless physically unavoidable, errors detected during startup processes shall not cause the restart processes to terminate before reaching their commanded termination location. [L4-SROSU-34] Machine error interrupt services shall leave the processor in a known repeatable state. No service routine will be designed to skip command execution.",6/26/06
ProjectA - TIM - 2107,L3-SFS-1028 no traceability links from L4,3,"According to the project DOORS database snapshot provided to the IV&V team, L3-SFS-1028 has no incoming links; however, the requirement has specific FSW implications. Referenced Requirement: [L3-SFS-1028] Spacecraft supplied critical temperature sensor inputs to software thermal control shall be actively redundant. Definition: A critical temperature sensor is defined as one which is required to keep some spacecraft device within its thermal operational limits (where no thermal functional or hardware redundancy exists)",6/26/06
ProjectA - TIM - 2104,L3-SFS-904 and L3-SFS-974 no traceability links from L4,3,"According to the project DOORS database snapshot provided to the IV&V team, neither L3-SFS-904 nor L3-SFS-974 has an incoming link, yet both requirements seem to have flight software implications. Referenced Requirements: [L3-SFS-904] No single fault in the Flight System shall preclude use of and entry to Safe Mode from any other mission mode. [L3-SFS-974] The Spacecraft FSW shall be designed to accommodate processor resets during the mission-critical event of launch and solar array deployment.",6/26/06
