
Corpus summary:
	 Training set size: 382 documents
	 Vocabulary size: 129 terms
	 Training set size: 4523 tokens
	 Preprocessing time: 12.39260098 sec

Finished training LDA model.  Summary:
	 Training time: 5.579833753 sec
30 topics:
TOPIC 0
latch	0.04296334939486119
close	0.03775588868064399
bound	0.015289302880046587
defin	0.011485650045913074
build	0.011291443681479723
limit	0.011137415715298546
point	0.011038154738481448
monitor	0.010905894493565488
provid	0.010892680546767498
function	0.010817322767400172

TOPIC 1
updat	0.044510132369346395
engcntrl	0.02267504746919872
packet	0.021172558009450077
telemetri	0.014181863935712285
check	0.013229127826311455
contain	0.012393675391203942
follow	0.011913135853140046
valid	0.011261734414264826
baselin	0.010630357703077528
question	0.01044835608819319

TOPIC 2
engcntrl	0.21575717847054998
question	0.05147053105058905
pressur	0.04052312898875211
baselin	0.03962979329953389
paramet	0.03921709141759282
check	0.03293997675715105
sourc	0.02880633271329411
valid	0.028525223862820297
plenum	0.026959070139871574
number	0.023253343762793834

TOPIC 3
contain	0.009493985009117464
allow	0.009409136633628369
access	0.009357419360832803
includ	0.009300604526953816
verifi	0.009293125368650937
sourc	0.009203002131393731
telemetri	0.009196022947945852
current	0.009172229975575581
plenum	0.009158959614710322
chang	0.009030817538022798

TOPIC 4
interrupt	0.1259342162735302
illeg	0.08278783977799142
error	0.07449923912098239
engcntrl	0.06322179387947635
detect	0.03482335440301513
enabl	0.027086877848378443
flight	0.026555055682625332
indic	0.017648270595848854
sourc	0.017116530577894796
differ	0.016780991390209127

TOPIC 5
manag	0.010079589866698288
provid	0.009843771619717157
capabl	0.009321908845350326
eeprom	0.009319620211664582
discuss	0.00925796743984761
event	0.009238012528503394
suncrosscalib	0.009065843049641722
interrupt	0.00903662474157246
defin	0.009009865040983568
projecta	0.008899789621128909

TOPIC 6
variabl	0.009474521843427305
inconsist	0.009427665780559442
illeg	0.009164074710499069
disabl	0.00912798273924226
result	0.009073698978985705
control	0.009070518609257304
refer	0.009002734034292628
pressur	0.008976286439760053
receiv	0.008942624439315075
start	0.008922364215155009

TOPIC 7
specif	0.009541980036516786
question	0.009382104242981342
execut	0.009302951787012691
inertia	0.009276304543943297
sequenc	0.009236406922783715
switch	0.009128691762383189
discuss	0.009061479921439443
paramet	0.008908130324359925
identifi	0.008889498602600396
document	0.00887927728347143

TOPIC 8
event	0.010357056626764616
specifi	0.009539433604298118
variabl	0.009389335742752341
updat	0.009327333668352814
second	0.009292989626023866
bound	0.00925532466394645
write	0.00911116291184148
engcntrl	0.00905736740123587
refer	0.00904206281864103
build	0.009024457398406387

TOPIC 9
function	0.0731946241982215
result	0.02136670782850698
uplink	0.019218236372475425
enabl	0.01439511921246187
state	0.013636480070015092
defin	0.013194068091323043
analysi	0.012094723065542136
process	0.012064327729263986
second	0.011768282426045445
follow	0.011477941917589923

TOPIC 10
verifi	0.09444937899667975
initi	0.051339266792119816
verif	0.048920742083868374
messag	0.04184342678198856
error	0.028805397832264854
switch	0.027283340564706632
bootload	0.023818071449864933
flexelint	0.02309997399708012
follow	0.022148491245184677
constant	0.020661674742921077

TOPIC 11
fault	0.009717272311903561
revis	0.009696581191103648
state	0.009643623571233459
error	0.009501314636719906
variabl	0.009264241641335106
sourc	0.00919707713678771
section	0.00916527836059709
current	0.009065869876525637
equal	0.009049981290171564
bound	0.008969610035352219

TOPIC 12
inertia	0.010119232059026094
project	0.009653141486301899
bound	0.009399117770787623
baselin	0.009244423487196785
monitor	0.009134701037888639
detect	0.009125722183910915
plenum	0.009095084451764227
respons	0.009054089952672569
write	0.008976514429166855
follow	0.008968543251548243

TOPIC 13
index	0.134697786954609
variabl	0.07337106825317598
defin	0.06586570098680936
array	0.06270140516116851
float	0.027852798239896368
bound	0.02520550028187855
doubl	0.024175605232621338
capabl	0.02319245427427881
function	0.021637315867629826
event	0.02157378992004301

TOPIC 14
memori	0.10789801498857028
function	0.07245222176964765
error	0.03935168087807402
prioriti	0.0292154201419533
scrub	0.026767527812434164
eeprom	0.026710187518234466
address	0.017829512169083805
initi	0.01700911910173763
defin	0.015600816901373101
perform	0.012766515550189225

TOPIC 15
state	0.009747549299482985
voltag	0.009636135432820023
checksum	0.009633722920117428
flexelint	0.009514111173337933
messag	0.00941817602884363
transit	0.009235894400993285
interfac	0.009221295611087693
calcul	0.009169485820478487
allow	0.009148863276869241
procedur	0.009044979656269837

TOPIC 16
prioriti	0.009485009989161752
event	0.00939274739880475
specifi	0.009312727670354268
indic	0.009196164431531251
verifi	0.009191353426732501
design	0.009060432974206549
cardnumb	0.008740431378275307
follow	0.008711988532727314
